Title,Movie Page URL,Cover Image URL,Extracted Stream URLs
Water Gate Bridge (2022) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/water-gate-bridge-2022-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/93BFLgHE0G10hXiDOUDHnRmQzZD.jpg
",Status: NO_STREAMS_FOUND
The Battle at Lake Changjin (2021) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/the-battle-at-lake-changjin-2021-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/dwNeWkccTWJCgfc6yqpkuH93nSu.jpg
",Server CS Player: https://cs07.avatarzone.online/The%20Battle%20at%20Lake%20Changjin%20(2021)%20Chinese%20BluRay-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://cs07.avatarzone.online/The%20Battle%20at%20Lake%20Changjin%20(2021)%20Chinese%20BluRay-[CineSubz.co]-720p.mp4?play=true
Andharan (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/andharan-2026-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/kaTGifoQW0qpR2ryK9Yy0iGoQgF.jpg
",Server CS Player: https://cs06.avatarzone.online/Andharan%20(2026)%20Tamil%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/97f58cc60361f36cb40942c5c9a9e029
Wild Card (2015) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/wild-card-2015-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/9Xna1fmRkTyAfMSonokrwblYXUS.jpg,Server CS Player: https://cs07.avatarzone.online/Wild%20Card%20(2015)%20English%20BluRay-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/001b8e3cf76f4e64cbe5be9882db4aa0
The Shepherd (2008) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/the-shepherd-2008-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/ycw7DZ97LCxsFuDzU3rvpgyE4ok.jpg,Server CS Player: https://cs07.avatarzone.online/The%20Shepherd%20(2008)%20English%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/293643def1ba1161bcdcfbfe434ab76d
Supergirl (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/supergirl-2026-sinhala-subtitles-2/,https://image.tmdb.org/t/p/w780/cbyslfazMuDUGt4W6QcO3cKq8xj.jpg,Server CS Player: https://cs06.avatarzone.online/Supergirl%20(2026)%20English%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/b1d3a8fba2c3b1a07da18922ec3d5664
Colony (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/colony-2026-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/jDvxsBemt2Iyslg7qn2WMzgxz23.jpg,Server CS Player: https://cs06.avatarzone.online/Colony%20(2026)%20Korean%20WEB-[CineSubz.co]-720p.mp4?play=true
The Legend of Aang: The Last Airbender (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/the-legend-of-aang-the-last-airbender-2026-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/sS3zGYFPcfM5pArVNWl6qLyaSmU.jpg
",Server CS Player: https://cs06.avatarzone.online/Avatar%20Aang%20The%20Last%20Airbender%20(2026)%20English%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://cs06.avatarzone.online/Avatar%20Aang%20The%20Last%20Airbender%20(2026)%20English%20WEB-[CineSubz.co]-720p.mp4?play=true
Broken Land (2025) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/broken-land-2025-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/eeqi8ox1Ca1v3tv9m01LgesNVwW.jpg,Server CS Player: https://cs06.avatarzone.online/Broken%20Land%20(2025)%20English%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/c0410c653460d525550e95c900d6b644
72 Hours (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/72-hours-2026-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/hL5EIk48251OXlbIbRJq3yaBHk8.jpg,Server CS Player: https://cs06.avatarzone.online/72%20Hours%20(2026)%20English%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/0ac2e9dc0810e7a46d37c8070285c9ef
